"Label (Grouping)","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming","Puerto Rico"
"Total:","5,024,279","733,391","7,151,502","3,011,524","39,538,223","5,773,714","3,605,944","989,948","689,545","21,538,187","10,711,908","1,455,271","1,839,106","12,812,508","6,785,528","3,190,369","2,937,880","4,505,836","4,657,757","1,362,359","6,177,224","7,029,917","10,077,331","5,706,494","2,961,279","6,154,913","1,084,225","1,961,504","3,104,614","1,377,529","9,288,994","2,117,522","20,201,249","10,439,388","779,094","11,799,448","3,959,353","4,237,256","13,002,700","1,097,379","5,118,425","886,667","6,910,840","29,145,505","3,271,616","643,077","8,631,393","7,705,281","1,793,716","5,893,718","576,851","3,285,874"
"    Not Hispanic or Latino:","4,760,232","683,567","4,959,249","2,754,677","23,958,571","4,510,324","2,982,651","885,658","611,893","15,840,947","9,588,451","1,316,348","1,599,699","10,475,098","6,231,337","2,974,383","2,555,277","4,297,982","4,335,208","1,335,750","5,447,479","6,142,232","9,512,909","5,360,854","2,856,059","5,851,845","1,039,026","1,726,789","2,214,357","1,318,075","7,286,419","1,106,711","16,253,217","9,320,792","745,682","11,278,140","3,487,422","3,648,499","11,953,085","915,278","4,765,587","847,926","6,431,653","17,703,788","2,778,704","627,573","7,722,644","6,646,068","1,758,889","5,446,428","517,805","36,831"
"        White alone","3,171,351","421,758","3,816,547","2,063,550","13,714,587","3,760,663","2,279,232","579,851","261,771","11,100,503","5,362,156","314,365","1,450,523","7,472,751","5,121,004","2,638,201","2,122,575","3,664,764","2,596,702","1,228,264","2,913,782","4,748,897","7,295,651","4,353,880","1,639,077","4,663,907","901,318","1,484,687","1,425,952","1,200,649","4,816,381","772,952","10,598,907","6,312,148","636,160","8,954,135","2,407,188","3,036,158","9,553,417","754,050","3,178,552","705,583","4,900,246","11,584,597","2,465,355","573,201","5,058,363","4,918,820","1,598,834","4,634,018","469,664","24,548"
"        Black or African American alone","1,288,159","20,731","317,161","449,884","2,119,286","221,310","360,937","212,960","282,066","3,127,052","3,278,119","21,877","14,785","1,775,612","637,500","129,321","163,352","357,764","1,452,420","25,115","1,795,027","457,055","1,358,458","392,850","1,079,001","692,774","5,077","94,405","291,960","18,655","1,154,142","38,330","2,759,022","2,107,526","26,152","1,457,180","283,242","78,658","1,368,978","55,386","1,269,031","17,441","1,083,772","3,444,712","37,192","8,649","1,578,090","296,170","64,749","366,508","4,735","4,286"
"        American Indian and Alaska Native alone","23,119","108,838","263,930","20,549","156,085","33,768","6,404","2,521","1,277","42,169","20,375","2,321","18,903","16,561","12,938","9,079","21,921","8,080","25,994","7,293","12,055","9,387","47,406","57,046","14,019","23,496","64,592","15,051","23,392","2,299","11,206","188,610","54,908","100,886","37,350","18,949","311,890","42,042","15,028","3,513","16,591","74,595","15,539","85,425","28,690","1,986","19,080","91,191","3,187","48,384","11,781","312"
"        Asian alone","75,918","43,449","248,837","51,210","5,978,795","195,220","170,459","42,398","33,192","629,626","475,680","531,558","26,036","747,280","166,651","75,017","85,225","73,843","85,336","16,668","417,962","504,900","332,288","297,460","32,305","132,158","8,077","52,359","265,991","35,604","942,921","35,261","1,916,329","340,059","13,050","296,604","89,653","191,797","506,674","38,367","89,394","13,332","134,302","1,561,518","78,618","11,457","610,612","723,062","14,903","174,267","5,037","2,746"
"        Native Hawaiian and Other Pacific Islander alone","2,612","12,455","14,323","14,280","138,167","9,005","974","304","349","11,521","6,101","149,054","3,401","2,959","2,761","5,605","3,115","3,462","1,706","407","2,575","1,607","2,603","2,621","1,037","9,293","839","1,318","22,970","388","1,944","1,451","6,097","6,980","869","4,493","8,168","18,197","3,162","320","3,085","493","3,594","27,857","35,831","170","6,195","62,490","429","1,892","489","91"
"        Some Other Race alone","14,455","4,575","31,611","8,047","223,929","29,560","27,076","4,601","3,753","137,933","55,887","5,283","8,243","45,080","25,139","8,487","10,064","14,706","16,954","4,430","35,314","92,108","37,183","20,963","7,174","22,377","4,374","6,335","17,171","5,916","70,354","10,340","197,107","46,340","1,853","45,217","13,602","22,962","54,541","11,392","19,354","2,050","23,977","113,584","12,566","2,561","45,394","43,221","4,652","17,613","2,425","2,508"
"        Two or More Races","184,618","71,761","266,840","147,157","1,627,722","260,798","137,569","43,023","29,485","792,143","390,133","291,890","77,808","414,855","265,344","108,673","149,025","175,363","156,096","53,573","270,764","328,278","439,320","236,034","83,446","307,840","54,749","72,634","166,921","54,564","289,471","59,767","720,847","406,853","30,248","501,562","373,679","258,685","451,285","52,250","189,580","34,432","270,223","886,095","120,452","29,549","404,910","511,114","72,135","203,746","23,674","2,340"
"    Hispanic or Latino:","264,047","49,824","2,192,253","256,847","15,579,652","1,263,390","623,293","104,290","77,652","5,697,240","1,123,457","138,923","239,407","2,337,410","554,191","215,986","382,603","207,854","322,549","26,609","729,745","887,685","564,422","345,640","105,220","303,068","45,199","234,715","890,257","59,454","2,002,575","1,010,811","3,948,032","1,118,596","33,412","521,308","471,931","588,757","1,049,615","182,101","352,838","38,741","479,187","11,441,717","492,912","15,504","908,749","1,059,213","34,827","447,290","59,046","3,249,043"
"        White alone","49,101","13,634","505,790","50,962","2,581,535","322,264","115,896","17,912","11,423","1,322,458","193,327","18,896","59,837","395,476","120,791","56,320","99,887","46,490","60,950","8,777","94,092","147,140","149,323","69,266","19,816","76,428","15,206","53,365","162,511","15,554","295,899","305,985","544,442","176,311","9,778","126,553","107,697","132,938","197,270","28,870","64,890","9,753","90,692","3,024,768","108,058","4,550","150,493","212,100","11,915","103,527","18,710","536,044"
"        Black or African American alone","8,003","1,167","21,989","3,899","117,758","13,518","27,738","5,939","3,744","119,329","42,394","1,540","941","32,659","11,013","2,651","5,457","4,653","11,603","637","25,445","36,974","18,121","5,584","5,480","7,066","407","2,130","12,779","1,472","65,628","7,574","227,150","32,691","631","21,601","6,719","3,997","54,191","6,782","11,500","401","9,176","108,285","2,866","385","29,491","11,395","1,064","9,748","497","224,425"
"        American Indian and Alaska Native alone","10,506","2,737","55,582","6,628","474,931","40,361","9,647","2,627","1,916","52,626","30,243","2,049","6,718","79,937","13,148","5,407","9,074","4,721","5,663","592","19,790","14,631","13,855","11,595","2,431","7,022","3,020","8,051","20,540","732","39,980","23,631","94,782","29,146","1,564","11,771","20,901","20,951","16,024","3,872","7,712","3,153","12,505","193,523","12,954","303","20,927","30,277","519","12,044","2,117","17,558"
"        Asian alone","742","583","8,593","629","107,152","4,607","1,996","301","353","14,056","3,348","10,344","800","7,598","1,308","612","1,048","583","1,102","130","2,982","3,034","2,012","1,730","404","1,219","223","592","6,712","267","7,169","2,208","16,798","2,992","163","1,905","1,296","2,741","3,827","594","1,072","144","1,313","23,962","1,820","92","4,824","7,534","206","1,435","175","1,255"
"        Native Hawaiian and Other Pacific Islander alone","372","243","2,074","253","19,096","1,282","624","108","83","2,493","1,198","8,391","325","1,542","376","153","297","219","205","36","672","694","448","297","117","437","102","216","2,041","65","1,589","642","4,718","1,538","55","541","440","1,007","1,114","216","346","50","521","5,754","1,099","11","961","2,443","47","307","90","502"
"        Some Other Race alone","122,988","13,697","868,259","128,058","8,146,667","434,486","272,057","43,908","33,541","1,426,349","499,172","21,464","95,389","1,090,069","236,173","80,233","135,358","81,711","125,745","5,300","375,627","404,623","184,668","147,481","49,686","105,565","9,715","98,832","418,586","18,186","978,287","308,292","2,013,526","571,050","9,529","179,127","200,399","242,469","453,990","92,223","158,522","13,007","222,305","3,837,782","207,554","2,686","401,256","469,919","8,267","164,441","17,658","835,808"
"        Two or More Races","72,335","17,763","729,966","66,418","4,132,513","446,872","195,335","33,495","26,592","2,759,929","353,775","76,239","75,397","730,129","171,382","70,610","131,482","69,477","117,281","11,137","211,137","280,589","195,995","109,687","27,286","105,331","16,526","71,529","267,088","23,178","614,023","362,479","1,046,616","304,868","11,692","179,810","134,479","184,654","323,199","49,544","108,796","12,233","142,675","4,247,643","158,561","7,477","300,797","325,545","12,809","155,788","19,799","1,633,451"
